,emission_limit,actual_emission,total_cost,surplus,Ppv_rated,Pel_rated,Eloht_rated,Pfc_rated
29,0.0,0.0,50861926.73967613,0.0,13.11561772798826,1.7266561343766498,52.01167511025412,0.87477931153046
28,63387.7046597451,63387.704659744886,25850766.854253482,0.0,10.673872144871376,1.8262390809131595,13.723773148589272,0.6865148491117381
27,126775.4093194902,126775.4093194902,20710414.39061306,0.0,8.615625030852396,1.6999107137709946,9.929678759374747,0.5915239767052043
26,190163.11397923552,190163.11397923518,18068633.48043723,0.0,7.5132559431400585,1.4047201312069033,8.532589105610338,0.5416800394808803
25,253550.81863898062,253550.81863898065,16014386.462089507,0.0,6.432359685431287,1.3695589084593638,7.5282423383882,0.4965029292562053
24,316938.5232987257,316938.52329872595,14442759.839204287,0.0,5.813059538833103,1.2203108835857486,6.617310548425587,0.44519572570693394
23,380326.2279584708,380326.22795847,13125033.472142396,0.0,5.252950400201865,1.0929993901137836,5.994526588404321,0.3902160669282466
22,443713.9326182159,443713.9326182155,12059995.81959533,0.0,5.116722485966697,0.9251182933750807,4.970499069624366,0.33052665022181316
21,507101.637277961,507101.637277961,10998583.215163995,0.0,4.614365321636378,0.8106685083076387,4.580082776534867,0.28720491417553
20,570489.3419377061,570489.3419377052,9979578.505545517,0.0,4.251979069523637,0.7381240009520407,3.9311689473531692,0.22946023664407278
19,633877.0465974512,633877.0465974519,9071870.372778445,0.0,3.985343033417879,0.6301081461593409,3.3091006424498417,0.1775481704450277
18,697264.7512571963,697264.7512571968,8286437.155017783,0.0,3.6421077995656552,0.5236475951189123,2.8506327328962087,0.1669843111037892
17,760652.4559169414,760652.4559169405,7543937.565434409,0.0,3.6071899162613534,0.37870402223675215,2.0517590871001428,0.11955941279654723
16,824040.1605766866,824040.1605766839,6798872.310347666,0.0,3.3583676680434795,0.30141188554320575,1.5146974010713907,0.08517002701792172
15,887427.8652364317,887427.8652364333,6106356.54110969,0.0,3.0846799716577995,0.20707684394781722,1.088587443017008,0.06495547057012964
14,950815.5698961768,950815.5698961758,5428830.88621337,0.0,2.924741863451222,0.10835639059012375,0.531868495939182,0.02777816669688476
13,1014203.274555922,1014203.2745559199,4801486.93037586,0.0,2.7601981642171753,0.005372889292609291,0.026372884251169435,0.00126165994480148
12,1077590.9792156671,1077590.9792156643,4284953.1954480745,0.0,2.3165445745038125,0.0,0.0,0.0
11,1140978.6838754122,1140978.683875414,3917185.8700374966,0.0,1.9691587298534554,0.0,0.0,0.0
10,1204366.3885351573,1204366.3885351564,3665314.6963630463,0.0,1.712207582991221,0.0,0.0,0.0
9,1267754.0931949024,1267754.0931949066,3486539.745597538,0.0,1.5122940057911243,0.0,0.0,0.0
8,1331141.7978546475,1331141.7978546598,3344314.399939225,0.0,1.3409003789313116,0.0,0.0,0.0
7,1394529.5025143926,1394529.502514404,3219897.4682136914,0.0,1.1834028004559485,0.0,0.0,0.0
6,1457917.2071741377,1457917.2071741528,3108349.393053782,0.0,1.035946894089252,0.0,0.0,0.0
5,1521304.9118338828,1521304.9118339075,3006005.747111235,0.0,0.895673277747849,0.0,0.0,0.0
4,1584692.6164936281,1584692.6164936482,2907109.896698189,0.0,0.7580900039422033,0.0,0.0,0.0
3,1648080.3211533732,1648080.3211534065,2810524.1439298787,0.0,0.6223093178776785,0.0,0.0,0.0
2,1711468.0258131183,1711468.0258131495,2718125.5566359167,0.0,0.4897959106536437,0.0,0.0,0.0
1,1774855.7304728634,1774855.7304728918,2633142.0617420576,0.0,0.36306855956891293,0.0,0.0,0.0
0,1838243.4351326085,1786358.593645575,2619115.340903602,51884.841487033445,0.341160158177337,0.0,0.0,0.0
